IDPeticion;Codi;Nom;SSTT;DataPlanificada;Data tancament ;Excedent previst ;EXCENDENT que té el centre  ;Incidental pendent previst ;Equips en incidencia CENTRE ;Equips a recollir a la visita (excedents mès averiats) previst;equips retirats ;disposen del total del equips a retirar ?;e-Valisa necessària?;e-Valisa sol·licitada;e-Valisa rebuda;MOTIU discrepancia ;observacions;Columna1;;;;;;
2198695;25005582;INSTITUT TERRES DE PONENT;LLE;7/11/2025;7/11/2025;24;29;20;20;24;29;SI;NO;;;El centre entrega mes equipament del previst , indicant que el te com a excedent;;;;;;;;
2198696;25006483;INSTITUT CANIGÓ;LLE;7/11/2025;7/11/2025;4;4;18;18;18;18;SI;NO;;;El centre entrega mes equipament del previst , indicant que el te com a excedent;;;;;;;;
2198632;08079341;INS NOU DE VIC;CCE;29/10/2025;29/10/2025;207;17;0;0;207;17;NO;;;;EQUIPAMENT PERDUT ;subrogació de centre  anteriorment eren INS DE VIC ;;;;;;;
2198636;08044922;INSTITUT DR. PUIGVERT;CEB;29/10/2025;29/10/2025;133;73;38;38;133;73;NO;SI;SI;No vàlida;El centre ha lliurat l’equipament excedent a alumnat d’altres nivells.;CD: No volen fer denúncies;;;;;;;
2198639;43003641;INSTITUT ANTONI DE MARTÍ I FRANQUÈS;TAR;29/10/2025;29/10/2025;95;95;6;6;95;95;SI;NO;;;;;;;;;;;
2198640;25009836;INSTITUT LA MITJANA;LLE;29/10/2025;29/10/2025;24;24;64;64;64;64;SI;NO;;;;;;;;;;;
2198657;17002545;INSTITUT FREDERIC MARTÍ I CARRERAS;GIR;29/10/2025;29/10/2025;133;17;0;0;133;17;NO;SI;;;pilot al juny;Pilot a juny, la Roser va dir que ho gestionaria, de moment resto a l'espera (MARC);;;;;;;
2198634;08053236;INSTITUT ROVIRA-FORNS;VOC;29/10/2025;30/10/2025;96;95;141;140;141;140;SI;NO;;;;;;;;;;;
2198637;08046803;INSTITUT VILATZARA;MVO;29/10/2025;30/10/2025;36;71;132;132;132;167;SI;NO;;;El centre entrega mes equipament del previst , indicant que el te com a excedent;;;;;;;;
2198642;17005741;INSTITUT PERE BORRELL;APA;30/10/2025;30/10/2025;32;32;46;45;46;45;SI;NO;;;;;;;;;;;
2198643;25006513;INSTITUT MANUEL DE MONTSUAR;LLE;30/10/2025;30/10/2025;4;4;45;54;45;54;SI;NO;;;El centre entrega mes equipament del previst , indicant que el te com a excedent;;;;;;;;
2198646;43013075;INSTITUT ESCOLA ÀNGEL DE TOBIES;PEN;31/10/2025;31/10/2025;58;19;8;8;58;19;NO;SI;SI;;El centre ha lliurat l’equipament excedent a alumnat d’altres nivells.;IE Centre de màxima complexitat amb un 99% d'alumnat vulnerable. Equipament lliurat a matricula viva i alumnat 5è;;;;;;;
2198648;08044983;INSTITUT LLUÍS COMPANYS;MVO;31/10/2025;31/10/2025;64;74;12;12;64;74;SI;NO;;;El centre entrega mes equipament del previst , indicant que el te com a excedent;;;;;;;;
